source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,latitude,longitude
25451186,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,ch4,,,field_not_modeled,2090,MW,0.42,7.693e+06,MWh,,,Bin Qasim power station,"gas, oil, other_fossil",24.7849,67.3603
25451186,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2e_20yr,4.625e+06,,,2090,MW,0.42,7.693e+06,MWh,,,Bin Qasim power station,"gas, oil, other_fossil",24.7849,67.3603
25451186,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2e_100yr,4.625e+06,,,2090,MW,0.42,7.693e+06,MWh,,,Bin Qasim power station,"gas, oil, other_fossil",24.7849,67.3603
104552,PAK,road-transportation,1-1-2021,12-31-2021,Yearly,n2o,146.36104819779476,5.7746920364199475e-09,T of N2O per VKT,22695.693830077344,km,,2.534525603698377e+10,vehicle km traveled (VKT),,,Lahore Urban Area in Lahore Division,,31.47914574900075,74.32040124549611
104552,PAK,road-transportation,1-1-2021,12-31-2021,Yearly,co2,4.3533377351135e+06,0.000171761442408,T of CO2 per VKT,22695.693830077344,km,,2.534525603698377e+10,vehicle km traveled (VKT),,,Lahore Urban Area in Lahore Division,,31.47914574900075,74.32040124549611
104552,PAK,road-transportation,1-1-2021,12-31-2021,Yearly,ch4,533.378910815139,2.104452644064171e-08,T of CH4 per VKT,22695.693830077344,km,,2.534525603698377e+10,vehicle km traveled (VKT),,,Lahore Urban Area in Lahore Division,,31.47914574900075,74.32040124549611
104552,PAK,road-transportation,1-1-2021,12-31-2021,Yearly,co2e_20yr,4.437298061413753e+06,5.7746920364199475e-09,,22695.693830077344,km,,2.534525603698377e+10,vehicle km traveled (VKT),,,Lahore Urban Area in Lahore Division,,31.47914574900075,74.32040124549611
104552,PAK,road-transportation,1-1-2021,12-31-2021,Yearly,co2e_100yr,4.409188992813794e+06,5.7746920364199475e-09,,22695.693830077344,km,,2.534525603698377e+10,vehicle km traveled (VKT),,,Lahore Urban Area in Lahore Division,,31.47914574900075,74.32040124549611
104552,PAK,road-transportation,1-1-2022,12-31-2022,Yearly,n2o,152.91719586783128,5.7746920364199475e-09,T of N2O per VKT,23459.05746971648,km,,2.648058024625555e+10,vehicle km traveled (VKT),,,Lahore Urban Area in Lahore Division,,31.47914574900075,74.32040124549611
104552,PAK,road-transportation,1-1-2022,12-31-2022,Yearly,co2,4.548342658898789e+06,0.000171761442408,T of CO2 per VKT,23459.05746971648,km,,2.648058024625555e+10,vehicle km traveled (VKT),,,Lahore Urban Area in Lahore Division,,31.47914574900075,74.32040124549611
104552,PAK,road-transportation,1-1-2022,12-31-2022,Yearly,ch4,557.2712711558595,2.104452644064171e-08,T of CH4 per VKT,23459.05746971648,km,,2.648058024625555e+10,vehicle km traveled (VKT),,,Lahore Urban Area in Lahore Division,,31.47914574900075,74.32040124549611
104552,PAK,road-transportation,1-1-2022,12-31-2022,Yearly,co2e_20yr,4.636063933241073e+06,5.7746920364199475e-09,,23459.05746971648,km,,2.648058024625555e+10,vehicle km traveled (VKT),,,Lahore Urban Area in Lahore Division,,31.47914574900075,74.32040124549611
104552,PAK,road-transportation,1-1-2022,12-31-2022,Yearly,co2e_100yr,4.606695737251156e+06,5.7746920364199475e-09,,23459.05746971648,km,,2.648058024625555e+10,vehicle km traveled (VKT),,,Lahore Urban Area in Lahore Division,,31.47914574900075,74.32040124549611
104718,PAK,road-transportation,1-1-2021,12-31-2021,Yearly,n2o,152.19218033845038,5.7746920364198614e-09,T of N2O per VKT,24047.512059945864,km,,2.635502973640912e+10,vehicle km traveled (VKT),,,Karachi Urban Area in Karachi Division,,24.909129458404607,67.0699415444497
104718,PAK,road-transportation,1-1-2021,12-31-2021,Yearly,co2,4.526777922232502e+06,0.000171761442408,T of CO2 per VKT,24047.512059945864,km,,2.635502973640912e+10,vehicle km traveled (VKT),,,Karachi Urban Area in Karachi Division,,24.909129458404607,67.0699415444497
104718,PAK,road-transportation,1-1-2021,12-31-2021,Yearly,ch4,554.629120131757,2.1044526440641586e-08,T of CH4 per VKT,24047.512059945864,km,,2.635502973640912e+10,vehicle km traveled (VKT),,,Karachi Urban Area in Karachi Division,,24.909129458404607,67.0699415444497
